run,abn_rules,abn_method_scope,abn_increment,abn_union,mlp_v_train_mse,mlp_v_val_mse,mlp_vr_train_mse,mlp_vr_val_mse,rho_missing_ratio_scope,n_total,n_scope,turbines
A_rules_only,0.2603008369114952,0.0,0.0,0.2603008369114952,81899.68302557862,82281.76081252046,78473.1952980963,78933.87586979417,0.0,23811893,17564112,53
B_no_rho,0.2603008369114952,0.07859355485776907,0.05813486224885425,0.3184356991603495,48659.25749344827,48927.36153780288,46682.696951268175,46980.01990062418,0.0,23811893,17564112,53
C_rho_model_only,0.2603008369114952,0.07852716949197318,0.05808849395683147,0.31838933086832666,49681.63167755663,49766.219532204894,45110.11878612523,45251.404793264046,0.0,23811893,17564112,53
D_rho_clean_only,0.2603008369114952,0.07854925999105448,0.05809821127119795,0.3183990481826931,56249.55035620466,56423.63171760973,53595.74002657006,53825.234323649565,0.0,23811893,17564112,53
E_rho_both,0.2603008369114952,0.07746380801944329,0.05728070324054526,0.31758154015204043,48368.98792392982,48328.382191734636,44706.09963523528,44715.76785266414,0.0,23811893,17564112,53
F_rho_shuffle,0.2603008369114952,0.07773515677877708,0.057482769599686054,0.3177836065111812,48185.27489074489,48173.946418439635,46212.37964662733,46246.854147572114,0.0,23811893,17564112,53
G_rho_constant,0.2603008369114952,0.07796306468553606,0.057651997361528005,0.31795283427302323,47259.632500513675,47280.67696211748,45380.536351421215,45449.852194726336,0.0,23811893,17564112,53
H_seasonal_winter_test,0.2603008369114952,0.08657642356186296,0.0640683114990577,0.32436914841055287,45326.04626968612,45234.30695497037,42359.44550531604,42258.80686217284,0.0,23811893,17564112,53
I_seasonal_winter_test_no_rho,0.2603008369114952,0.08370534189260465,0.06186876646239898,0.32216960337389416,45295.49926196476,45249.199095610726,43841.0931970289,43782.375515459025,0.0,23811893,17564112,53
J_one_pass_rho_both,0.2603008369114952,0.07774961808487671,0.057501367175784523,0.3178022040872797,48216.64414367436,48099.115765598486,44608.08817350662,44523.35697574135,0.0,23811893,17564112,53
